id	filename	md5	size	state
10a33dc3-561c-4fd0-8f69-05d8a59d48a0	10a33dc3-561c-4fd0-8f69-05d8a59d48a0/c0cd55bb-9bec-4e83-a453-cc73637673eb.htseq.counts.gz	dcb14927e127242f68803eb2a5907bbc	251135	validated
25d184a9-e7a2-4bc5-838b-c0230af16567	25d184a9-e7a2-4bc5-838b-c0230af16567/0498d3e9-bf60-48ff-bf34-d9725718c576.htseq.counts.gz	45aead1615fcda92a3d443cef71f44b0	247345	validated
2da2a6ad-4bd3-4ad2-b82e-258936e7b638	2da2a6ad-4bd3-4ad2-b82e-258936e7b638/d2b31242-6431-4e3c-a663-e6583753e79a.htseq.counts.gz	cafd6cb3fbd1899ff6fa74474f9f7e4c	252906	validated
3e5b3268-cfd8-44c0-a25c-06e2740c7167	3e5b3268-cfd8-44c0-a25c-06e2740c7167/ac37405d-dfae-4733-bbe6-157d7657023c.htseq.counts.gz	e6e95964f09c9866af3dcff01faf31be	246376	validated
48151fe4-7aa5-448f-9a3f-c69b77917c81	48151fe4-7aa5-448f-9a3f-c69b77917c81/9cc93369-3cc7-4293-9f42-a997c26243c9.htseq.counts.gz	b6b5c5868029e7a540373b78d8cd3775	249484	validated
4c9255a4-ce16-4a66-a77c-c2222bfb3a62	4c9255a4-ce16-4a66-a77c-c2222bfb3a62/b2e24e75-0895-4fab-8367-af1dc71e4a5e.htseq.counts.gz	f263138582e3682c222296d6a77c269d	255405	validated
5613dca7-5ce1-4eb9-bf1f-470867f4f3f4	5613dca7-5ce1-4eb9-bf1f-470867f4f3f4/95477845-1365-46a6-8c95-8f1ef05ddd0d.htseq.counts.gz	a60ec33c015f5d97853ec169334077ed	257604	validated
5f3d5c71-d689-4c9e-b0c3-ff0b12d7e217	5f3d5c71-d689-4c9e-b0c3-ff0b12d7e217/b10ac900-f925-47e3-bb0a-0fbcf9d5ffc9.htseq.counts.gz	2cf3c8ec7eafc6aa4fb182fab5d4e2a7	254160	validated
60d94abd-f692-4070-b5fc-f83a7167205d	60d94abd-f692-4070-b5fc-f83a7167205d/15c1d1b9-a970-451b-aef6-56bdab123674.htseq.counts.gz	cc9c8cd125cbcf81555414a1b87914d9	249818	validated
7d7c5c66-2d06-4edd-bb6a-6d566396c70d	7d7c5c66-2d06-4edd-bb6a-6d566396c70d/606312ce-9729-4adf-90f9-7fb2febf4dae.htseq.counts.gz	0851d69592a462fdba05d642a7c4a004	257375	validated
a23a715a-7f3e-416a-abf6-d0a9b473da4a	a23a715a-7f3e-416a-abf6-d0a9b473da4a/b0a44ece-6cfe-4d2e-8048-c899516b882e.htseq.counts.gz	12432dec07258b39eaf075183184e9de	252715	validated
a329c09c-7e12-497d-ab34-927c14e565ec	a329c09c-7e12-497d-ab34-927c14e565ec/e4f35921-2d29-421a-91e4-5e06c7f851ec.htseq.counts.gz	fea1927c5542360503e9bdb0fcfccf1c	255377	validated
aec230b1-1189-4baa-a15b-e8f60046ceef	aec230b1-1189-4baa-a15b-e8f60046ceef/c68ba87f-4bd2-4b57-964e-2757f22d9e0a.htseq.counts.gz	f17ac9f14cb72d31f573c6da641a7a33	254495	validated
b4ff8bfa-917f-45f3-b54d-802940512d67	b4ff8bfa-917f-45f3-b54d-802940512d67/11797830-6218-43c6-8c41-515583575668.htseq.counts.gz	1496a6c7a0e480328798d1e86a0e4b74	251305	validated
c0a25224-03ae-4cb4-9dec-49c16e9ffd68	c0a25224-03ae-4cb4-9dec-49c16e9ffd68/92cc5466-7ae6-458a-80bf-2be5d81f8d37.htseq.counts.gz	3b15c33f59ec588f5834cfd5a62e3be8	253987	validated
c86453d3-fcdf-47f9-8d50-a8282b2049a6	c86453d3-fcdf-47f9-8d50-a8282b2049a6/597e0bf5-b228-432f-b469-9498bb812f98.htseq.counts.gz	305244095c16c53594e3bc22aa5631bd	256730	validated
d4b8d7a5-e008-48cb-ae1a-faeae8884eef	d4b8d7a5-e008-48cb-ae1a-faeae8884eef/d79aad6b-f80d-4e0c-98f8-f367a4357e0c.htseq.counts.gz	e751bc97b5a2c7233809a791846b655f	254251	validated
eb97a1f3-8d9e-4cce-b7df-897ed3c41b56	eb97a1f3-8d9e-4cce-b7df-897ed3c41b56/94e2fc89-29f8-4a60-8d42-d43e01530839.htseq.counts.gz	6cb8b8980e47834b94707cc87aaabb05	249159	validated
f59a947c-b61d-4b38-af86-f2e1b49b8f31	f59a947c-b61d-4b38-af86-f2e1b49b8f31/7b414ea9-1674-41c5-a0b2-5b1925ac9aec.htseq.counts.gz	b6db794ca30d7d44ff921a60a5796b77	238321	validated
f8264196-1bd6-4ca1-bb43-eb6b64a6f8f1	f8264196-1bd6-4ca1-bb43-eb6b64a6f8f1/786537c7-34b1-4d87-bbe4-f28b2df869b2.htseq.counts.gz	2bb6af3b7d6f8f7ed0c5292fda7203aa	251729	validated
